gene,log2FC,pvalue,padj,-log10_padj,Significance
TEX12,-0.20240207014370365,0.3359651326666949,0.5583556501353948,0.25308908477313324,Not Significant
YBX1,0.07027615315043961,0.33603331831797145,0.5584284081286451,0.25303249658172083,Not Significant
LST1,0.12843457943925446,0.3361072610645709,0.5585107221408513,0.2529684849979552,Not Significant
UXT,0.10118189126721197,0.336253557695509,0.558713246192683,0.2528110320939366,Not Significant
SPOPL,0.06638915686865823,0.336284824324556,0.5587246227976067,0.2528021890130309,Not Significant
LOC254896,0.13176067731886357,0.3363124066199894,0.558729876812762,0.25279810510663364,Not Significant
RPL23AP32,-0.08074354336247419,0.3364925486672191,0.5589885655634919,0.2525970757691565,Not Significant
PAX5,-0.10982087227414135,0.33654416300629575,0.5590337192960685,0.2525619959372577,Not Significant
C1RL-AS1,0.12663697115867867,0.33660560219528646,0.5590353451108209,0.252560732898331,Not Significant
OCM2,0.1872824841724458,0.33661844185278755,0.5590353451108209,0.252560732898331,Not Significant
RGMB-AS1,-0.1918501658124802,0.33657711156227754,0.5590353451108209,0.252560732898331,Not Significant
C11orf84,-0.136802230931563,0.3369028749058146,0.55946710537415,0.25222544331697827,Not Significant
ADAM22,-0.08722139734699914,0.3369536452876578,0.5595108066029183,0.252191520927067,Not Significant
DESI1,-0.06675876796301673,0.33699620893676563,0.5595408752157618,0.2521681821789971,Not Significant
AK131021,-0.20285217566073627,0.3371703503849628,0.5597893924104164,0.2519753353469376,Not Significant
YLPM1,-0.08521850400294526,0.3372561831167178,0.5598912690255771,0.2518963048636128,Not Significant
YTHDF3,-0.046427343985526434,0.3374206613735006,0.5601236836846618,0.2517160636888705,Not Significant
ABHD12B,0.18006778213244984,0.3378130153958182,0.5605716414459183,0.2513688763849925,Not Significant
AKR1C4,-0.23043040900411904,0.33776606557284317,0.5605716414459183,0.2513688763849925,Not Significant
FSCN2,-0.18633102200783744,0.33779931344651204,0.5605716414459183,0.2513688763849925,Not Significant
IL17B,-0.20128861420962607,0.3377635869764788,0.5605716414459183,0.2513688763849925,Not Significant
REG4,0.1490003349747106,0.3377303046033261,0.5605716414459183,0.2513688763849925,Not Significant
